case_id,label,description,detection_rule,policy,severity,validate_check_name
"E01","Homonym site name (same county)","Two or more rows in the same county share an identical normalized project_name but represent distinct programs (different organization_name).","Group by (county, .normalize_name(project_name)); flag groups where n_distinct(organization_name) > 1","Auto-fuzzy match will not disambiguate — route to bucket D and flag for analyst review.","WARN","fuzzy_audit"
"E02","Homonym site name (different county)","Same normalized project_name appears in two or more counties.","Group by .normalize_name(project_name); flag if n_distinct(county) > 1","Acceptable when programs genuinely share a name; included so reconciliation does not cross-match by name alone.","INFO","none"
"E03","Missing required column","Source file lacks one or more codebook-required columns for its kind.","setdiff(required_cols_for_kind, names(df))","Block downstream — clean_log records missing_in_source.","ERROR","required_columns_*"
"E04","Capacity zero or NA","Capacity sheet row reports capacity <= 0 or NA where enrollment > 0.","capacity <= 0 OR (is.na(capacity) AND !is.na(enrollment))","Block validation — likely data entry error.","ERROR","capacity_positive"
"E05","Enrollment exceeds capacity","Capacity sheet row where enrollment > capacity.","enrollment > capacity (both non-NA)","Warn — possibly over-enrollment by ADECE policy exception; flag for review.","WARN","enrollment_le_capacity"
"E06","Waitlist greater than 3x capacity","Suspiciously large waitlist relative to capacity.","waitlist > 3 * capacity (both non-NA, capacity > 0)","Warn — likely data entry error or extreme demand site.","WARN","waitlist_extreme"
"E07","Zero-capacity classroom in renewal/new","Renewal or new application reports a draft_award > 0 but capacity = 0 in linked capacity row.","draft_award > 0 AND linked capacity row's capacity = 0","Warn — inconsistency between sheets; requires reconciliation review.","WARN","cross_sheet_capacity"
"E08","Duplicate site_code different organization","Same site_code appears in multiple cycles linked to different organization_name.","Group panel by site_code; flag if n_distinct(organization_name) > 1 across years","Warn — likely program ownership change or site_code reuse.","WARN","site_code_collision"
"E09","Renewal in new sheet (misclassified)","Row in new_apps sheet exactly matches a prior-cycle classroom by fuzzy_score >= 0.95.","new_apps row with reconcile bucket = C AND match_score >= 0.95","Auto-route to bucket B-equivalent; log decision for analyst review.","INFO","fuzzy_high_in_new"
"E10","New sheet but matches existing program","Row in new_apps sheet matches existing program at score in [0.85, 0.95).","new_apps row with reconcile bucket = C AND match_score in [0.85, 0.95)","Auto bucket C — flag for analyst review (could be additional classroom at existing site).","WARN","fuzzy_borderline"
"E11","Multiple sheets contradict","Same (organization_name, project_name) appears in BOTH renewals AND new_apps sheets.","Inner join of renewals and new_apps on (org_norm, project_norm, county_norm); flag any matches","Block — data entry error in ADECE export.","ERROR","sheet_contradiction"
"E12","Funding type not in canonical set","funding_type value not in alprek_applications_funding_types() codebook.","funding_type not in tolower(codebook$funding_type)","Warn — codebook may need expansion (real cycle-1 finding: 'New Classroom Funding' etc.).","WARN","funding_type_in_codebook"
"E13","County not in Alabama set","county value not in 67 Alabama counties.","tolower(county) not in tolower(county_codes$county_name)","Block — non-Alabama county is a real upstream bug.","ERROR","county_in_alabama"
"E14","Process name not in codebook","process_name value not in alprek_applications_status_codes() codebook (excluding noise).","tolower(process_name) not in tolower(status_codes$process_name)","Warn — codebook may need expansion. The observed cycle-1 Round 2 variant is now codified; this case covers future unregistered variants.","WARN","process_name_in_codebook"
"E15","Fully blank row","All non-data_source columns are NA or empty string.","rowSums(is.na or '' across data cols) == ncol-1","Drop in clean step; log drop_fully_na.","INFO","drop_fully_na"
"E16","Region format non-canonical","region does not match 'Region [1-9]'.","!grepl('^Region [1-9]$', region)","Warn — likely typo or formatting variant.","WARN","region_format_valid"
"E17","Cross-field award mismatch","draft_award != draft_base_award + tier_adjustment beyond tolerance.","abs(draft_award - (draft_base_award + tier_adjustment)) > $1.00","Warn — ADECE calculation error or formula change.","WARN","draft_award_reconciles"
