"code","label","severity","meaning","observed_in_v080_input","observed_n_in_v080","source","retrieved_at"
"GE01","ZIP Code Error","error","An invalid ZIP Code was entered",FALSE,0,"https://www.rubydoc.info/gems/melissa/0.0.4/Melissa/GeoPoint (GE family)","2026-05-20"
"GE02","ZIP Code Not Found","error","Submitted ZIP Code not found in Melissa Geocoder DB",FALSE,0,"https://www.rubydoc.info/gems/melissa/0.0.4/Melissa/GeoPoint (GE family)","2026-05-20"
"GE03","Demo Mode (out of demo range)","fatal","GeoCoder Object in Demo Mode; out-of-demo ZIP detected",FALSE,0,"https://www.rubydoc.info/gems/melissa/0.0.4/Melissa/GeoPoint (GE family)","2026-05-20"
"GE04","Data Files Expired","fatal","GeoCoder Object data files expired; update needed",FALSE,0,"https://www.rubydoc.info/gems/melissa/0.0.4/Melissa/GeoPoint (GE family)","2026-05-20"
"GE05","Country Geocoding Disabled","fatal","Country geocoding disabled for current license",FALSE,0,"https://www.rubydoc.info/gems/melissa/0.0.4/Melissa/GeoPoint (GE family)","2026-05-20"
"AE01","Postal Code Error / Unverified","error","Postal/ZIP code not found, invalid, or unverifiable",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
"AE02","Unknown Street / Unverified","error","Street name not found in postal reference",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
"AE03","Component Mismatch / Unverified","error","Address components mismatch the reference DB",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
"AE05","Multiple Match (Ambiguous)","warning","Address matched multiple records; tie unresolvable",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
"AE08","Sub-Premise Invalid (Suite Conflict)","critical","Street found but sub-premise (suite/unit) invalid",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
"AE09","Sub-Premise Missing (Suite Required)","warning","Street found but sub-premise (suite/unit) missing",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
"AE10","Premise Number Invalid","critical","Premise (building) number invalid for street",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
"AE11","Premise Number Missing","warning","Premise (building) number missing",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
"AE12","PO/RR/HC Box Number Invalid","critical","PO Box / Rural Route / Highway Contract box number invalid",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
"AE13","PO/RR/HC Box Number Missing","warning","PO Box / Rural Route / Highway Contract box number missing",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
"AE14","CMRA Private Mail Box Missing","warning","Commercial Mail Receiving Agency PMB number missing (US only)",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
"AE17","Sub-Premise Not Required","warning","Sub-premise entered but address has no secondaries",FALSE,0,"https://www.veritas.com/support/en_US/article.100051536 (AE family) + https://help.qlik.com/talend/.../address-standardization","2026-05-20"
