raw_column,standard_name,type,notes
School Year,school_year,id,
Classroom Code,classroom_code,id,
Classroom Name,classroom_name,id,
Region #,region_num,id,
Site Code,site_code,id,
Site Name,site_name,id,
Program Code,program_code,id,
Program Name,program_name,id,
ADECE ID,adece_id,id,Anonymized student ID
Gender,gender,demographics,M/F
Race,race,demographics,Multiple raw variants across years
Ethnicity,ethnicity,demographics,Hispanic/Non-Hispanic
State Student ID,state_student_id,demographics,Legacy only - alphanumeric
DOB,dob,demographics,Date of birth (PII)
Poverty Indicator,poverty_ind,family,Yes/No
Delivery Type,delivery_type,family,7 types with mixed capitalization
Title One,title_one,family,Y/N
Language,language,family,Primary language
Lives With,lives_with,family,Both/Parent/guardian 1/Parent/guardian 2
Number In House,num_in_house,family,Numeric or text words in 2021-22
Gross Income,gross_income,family,Income ranges - different format by year
Poverty Level Percentage,pov_lvl_pct,family,Categorical ranges - 65% NA
Monthly Fees,monthly_fees,family,Numeric
Childcare Subsidy,childcare_subsidy,services,Yes/No
TANF,tanf,services,Yes/No
WIC,wic,services,Yes/No
Free Reduced Lunch,free_reduced_lunch,services,Yes/No
SNAP,snap,services,Yes/No
IEP,iep,services,Yes/No
School System Providing Services,school_svc,services,100% NA all years
Head Start,head_start,services,No/Yes duration levels
Center Based Childcare,center_childcare,services,No/Yes duration levels
Home Based Childcare,home_childcare,services,No/Yes duration levels
Home Visiting,home_visiting,services,No/Yes duration levels
Foster Care,foster_care,services,Yes/No
Homeless,homeless,services,Yes/No
Allergies / Medical,allergies_medical,services,Free text
School Services,school_services,services,100% NA
Intervention Services,intervention_svc,services,Yes/No
Behavior Support Requested,behavior_support,services,Numeric
Class Level ID,class_lvl_id,services,Constant 5
Days Absent Semester 1,days_absent_sem1,attendance,Numeric - may have negatives
Days Absent Semester 2,days_absent_sem2,attendance,Numeric
Days Tardy Semester 1,days_tardy_sem1,attendance,Numeric - may have negatives
Days Tardy Semester 2,days_tardy_sem2,attendance,Numeric
Family Hours,family_hrs_total,attendance,Nearly always NA
August Family Hours,aug_family_hrs,attendance,Monthly - mostly empty
September Family Hours,sept_family_hrs,attendance,Monthly - mostly empty
October Family Hours,oct_family_hrs,attendance,Monthly - mostly empty
November Family Hours,nov_family_hrs,attendance,Monthly - mostly empty
December Family Hours,dec_family_hrs,attendance,Monthly - mostly empty
Semester 1 Family Hours,sem1_family_hrs,attendance,~100% populated
January Family Hours,jan_family_hrs,attendance,Monthly - mostly empty
February Family Hours,feb_family_hrs,attendance,Monthly - mostly empty
March Family Hours,mar_family_hrs,attendance,Monthly - mostly empty
April Family Hours,apr_family_hrs,attendance,Monthly - mostly empty
May Family Hours,may_family_hrs,attendance,Monthly - mostly empty
Semester 2 Family Hours,sem2_family_hrs,attendance,~100% populated
IEP Referral Date,iep_ref_date,iep_referral,Date
IEP Referral Outcome,iep_ref_outcome,iep_referral,Free text - many variants
Reason for Referral,ref_reason,iep_referral,Free text
Part B Entry Date,part_b_date,iep_referral,Date
Part B Entry Tool,part_b_tool,iep_referral,Text
Enrolled Date,enrolled_date,enrollment,Date
Migrant Family,migrant_family,demographic_flags,Yes/No mixed case
Resides on Indian Lands,indian_lands,demographic_flags,Yes/No mixed case
Military-connected Family,military_family,demographic_flags,Yes/No mixed case
GOLD Literacy Fall Raw Score,gold_literacy_fall_raw,gold,Numeric
GOLD Literacy Fall Scale Score,gold_literacy_fall_scale,gold,Numeric
GOLD Literacy Fall WHE Status,gold_literacy_fall_whe,gold,Below/Meet/Exceed
GOLD Literacy Fall NN Status,gold_literacy_fall_nn,gold,Below/Meet/Exceed
GOLD Literacy Fall K-Readiness,gold_literacy_fall_kready,gold,Emerging/Accomplished
GOLD Literacy Spring Raw Score,gold_literacy_spring_raw,gold,Numeric
GOLD Literacy Spring Scale Score,gold_literacy_spring_scale,gold,Numeric
GOLD Literacy Spring WHE Status,gold_literacy_spring_whe,gold,Below/Meet/Exceed
GOLD Literacy Spring NN Status,gold_literacy_spring_nn,gold,Below/Meet/Exceed
GOLD Literacy Spring K-Readiness,gold_literacy_spring_kready,gold,Emerging/Accomplished
GOLD Math Fall Raw Score,gold_math_fall_raw,gold,Numeric
GOLD Math Fall Scale Score,gold_math_fall_scale,gold,Numeric
GOLD Math Fall WHE Status,gold_math_fall_whe,gold,Below/Meet/Exceed
GOLD Math Fall NN Status,gold_math_fall_nn,gold,Below/Meet/Exceed
GOLD Math Fall K-Readiness,gold_math_fall_kready,gold,Emerging/Accomplished
GOLD Math Spring Raw Score,gold_math_spring_raw,gold,Numeric
GOLD Math Spring Scale Score,gold_math_spring_scale,gold,Numeric
GOLD Math Spring WHE Status,gold_math_spring_whe,gold,Below/Meet/Exceed
GOLD Math Spring NN Status,gold_math_spring_nn,gold,Below/Meet/Exceed
